Question,Philip,New Sexy Ayrton,Andy,Claire,Dave,Kevin,Pious ,Shane,Veronica,BINGPT,,
At least one driver will win 4 consecutive races?,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,20
The start of at least one race will be delayed by a minimum of 30 minutes due to rain?,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,
Doohan gets booted after 6 or less races?,Y,Y,N,N,N,Y,N,N,Y,Y,Y,
Andrea Kimi Antonelli will beat George Russell at least seven times in main qualifying?,N,N,N,N,N,Y,N,Y,Y,N,N,
Fernando Alonso will score at least one podium finish in 2025?,Y,N,Y,Y,N,N,Y,N,Y,Y,N,
The WDC will drive for the WCC winning team?,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,
At least one of the championship titles will not be decided until the final race of the 2025 season?,Y,Y,N,N,N,N,N,N,N,Y,Y,
A minimum of twenty-three different drivers will compete in F1 GP races in 2025?,N,N,Y,Y,N,Y,Y,N,Y,Y,N,
"On at least one occasion, teammates will take each other out, resulting in double DNF for that team?",Y,N,Y,Y,N,Y,N,Y,Y,Y,N,
Lewis Hamilton will win Pole Position at least twice for F1 GP races in 2025?,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,
Lance Stroll to DNF / DNS / DSQ at least 3 times in the season?,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,
"More than one rookie to get replaced? Applies to Doohan,  Bearman, Bortoleto, Antonelli, Hadjar, Lawson.",N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,
"Norris, starting on pole, to lose P1 on Lap 1 more than once?",Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,
George Russell to finish GP outside top 5 ( including DNF / DNS / DSQ ) at least 5 times?,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
WDC - 1st?,NOR,VER,VER,LEC,PIA,NOR,VER,NOR,VER,NOR,NOR,
WDC - 2nd?,VER,NOR,NOR,VER,NOR,PIA,NOR,VER,NOR,LEC,VER,
WDC - 3rd?,LEC,PIA,HAM,NOR,VER,LEC,LEC,HAM,HAM,VER,PIA,
WCC - 1st?,MCL,MCL,RBPT,AMR,MCL,MCL,MCL,MCL,MCL,MCL,MCL,
WCC - 2nd?,RBPT,RBPT,MCL,RBPT,FER,FER,RBPT,FER,RBPT,FER,MER,
WCC - 3rd?,FER,FER,FER,FER,RBPT,RBPT,FER,RBPT,FER,RBPT,RBPT,
At least one driver will win 4 consecutive races?,0,20,0,0,20,0,0,0,20,0,,
The start of at least one race will be delayed by a minimum of 30 minutes due to rain?,20,20,20,0,20,20,20,20,20,20,,
Doohan gets booted after 6 or less races?,20,20,0,0,0,20,0,0,20,20,,
Andrea Kimi Antonelli will beat George Russell at least seven times in main qualifying?,20,20,20,20,20,0,20,0,0,20,,
Fernando Alonso will score at least one podium finish in 2025?,0,20,0,0,20,20,0,20,0,0,,
The WDC will drive for the WCC winning team?,20,0,20,20,20,20,20,20,20,20,,
At least one of the championship titles will not be decided until the final race of the 2025 season?,20,20,0,0,0,0,0,0,0,20,,
A minimum of twenty-three different drivers will compete in F1 GP races in 2025?,20,20,0,0,20,0,0,20,0,0,,
"On at least one occasion, teammates will take each other out, resulting in double DNF for that team?",0,20,0,0,20,0,20,0,0,0,,
Lewis Hamilton will win Pole Position at least twice for F1 GP races in 2025?,0,0,0,0,0,20,0,0,0,0,,
Lance Stroll to DNF / DNS / DSQ at least 3 times in the season?,0,0,0,20,0,0,0,0,0,0,,
"More than one rookie to get replaced? Applies to Doohan,  Bearman, Bortoleto, Antonelli, Hadjar, Lawson.",0,0,20,20,0,20,20,20,20,20,,
"Norris, starting on pole, to lose P1 on Lap 1 more than once?",0,0,20,0,0,0,0,0,20,0,,
George Russell to finish GP outside top 5 ( including DNF / DNS / DSQ ) at least 5 times?,20,20,20,20,20,20,20,20,20,20,,
WDC - 1st?,20,0,0,0,0,20,0,20,0,20,,
WDC - 2nd?,20,0,0,20,0,0,0,20,0,0,,
WDC - 3rd?,0,20,0,0,0,0,0,0,0,0,,
WCC - 1st?,20,20,0,0,20,20,20,20,20,20,,
WCC - 2nd?,0,0,0,0,0,0,0,0,0,0,,
WCC - 3rd?,0,0,0,0,20,20,0,20,0,20,,
,,,,,,,,,,,,
AUS-1,VER,NOR,VER,VER,PIA,PIA,NOR,PIA,NOR,NOR,NOR,
AUS-2,RUS,VER,NOR,RUS,VER,NOR,PIA,NOR,LEC,VER,VER,
AUS-3,LEC,PIA,LEC,LEC,HAM,LEC,SAI,VER,PIA,LEC,RUS,
DNF,NOR,ANT,NONE,NONE,ANT,BORT,RUS,HAD,BORT,ANT,SAI DOO BOR LAW ALO HAD,
CHN-1,PIA,PIA,MAX,NOR,PIA,LEC,NOR,PIA,NOR,VER,PIA,
CHN-2,NOR,NOR,NOR,VER,NOR,VER,PIA,NOR,PIA,LEC,NOR,
CHN-3,RUS,MAX,LEC,RUS,RUS ,NOR,VER,VER,VER,NOR,RUS,
CHN-DNF,LAW,LAW,,LAW,DOO,BORT,BER,BER,DOO,LAW,ALO ,
JPN-1,NOR,PIA,VER,VER,PIA,PIA,NOR,NOR,NOR,VER,VER,
JPN-2,PIA,NOR,NOR,NOR,NOR,NOR,VER,PIA,VER,NOR,NOR,
JPN-3,RUS,MAX,HAM,PIA,RUS ,RUS,PIA,VER,RUS,PIA,PIA,
JPN-DNF,ALO,LAW,PIA,LAW,DOO,OCN,DOO,,DOO,ALO,,
BAH-1,PIA,PIA,VER,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,
BAH-2,LEC,RUS,NOR,RUS,RUS ,NOR,LEC,NOR,RUS,RUS,RUS,
BAH-3,RUS,LEC,PIA,NOR,ANT,VER,RUS,RUS,NOR,LEC,NOR,
BAH-HUMBUG,STR,,TSU,,ALO,STR,BOR,,STR,NOR,"HUL, SAI",
SAR-1,VER,MAX,PIA,PIA,PIA,PIA,VER,PIA,VER,VER,PIA,
SAR-2,PIA,PIA,NOR,NOR,VER,VER,PIA,VER,PIA,PIA,VER,
SAR-3,RUS,RUS,LEC,RUS,RUS ,LEC,RUS,RUS,LEC,RUS,LEC,
SAR-DNF,NOR,,,LAW,STR,DOO,BOR,,STR,NOR,,
MIA-1,NOR,VER,VER,NOR,PIA,PIA,PIA,NOR,VER,VER,PIA,
MIA-2,PIA,NOR,NOR,PIA,VER,NOR,NOT,VER,NOR,LEC,NOR,
MIA-3,VER,PIA,RUS,RUS,NOR,VER,ANT,PIA,PIA,PIA,RUS,
MIA-DNF,ALO,,LAW,LAW,STR,STR,STR,,STR,NOR,"LAW, BORT, BEAR, DOO",
IMO-1,NOR,PIA,VER,PIA,PIA,PIA,PIA,PIA,PIA,VER,VER,
IMO-2,PIA,NOR,PIA,NOR,NOR,NOR,NOR,VER,NOR,LEC,NOR,
IMO-3,VER,VER,NOR,RUS,RUS ,RUS,RUS,NOR,RUS,PIA,PIA,
IMO-DNF,ALO,,LAW,LAW,COL,BER,COL,,,NOR,"ANT, OCO",
MON-1,NOR,PIA,NOR,LEC,NOR,PIA,PIA,NOR,NOR,VER,NOR,
MON-2,PIA,NOR,VER,NOR,PIA,NOR,NOR,LEC,LEC,LEC,LEC,
MON-3,VER,VER,PIA,PIA,VER,RUS,RUS,PIA,PIA,PIA,PIA,
MON-DNF,ALO,NONE,GAS,,COL,BER,COL,,ANT,NOR,"ALO, GAS",
BAR-1,NOR,PIA,PIA,PIA,PIA,PIA,PIA,NOR,PIA,VER,PIA,
BAR-2,PIA,NOR,NOR,NOR,NOR,NOR,NOR,LEC,NOR,LEC,NOR,
BAR-3,VER,VER,MAX,RUS,VER,RUS,VER,PIA,VER,PIA,LEC,
BAR-DNF,ALO,NONE,STR,,,COL,COL,,,NOR,"ANT, ALB",
CAN-1,PIA,RUS,VER,PIA,PIA,PIA,VER,VER,PIA,PIA,RUS,
CAN-2,NOR,PIA,PIA,NOR,VER,VER,PIA,PIA,NOR,NOR,VER,
CAN-3,RUS,NOR,RUS,VER,RUS,HAM,RUS,RUS,VER,RUS,ANT,
CAN-DNF,GAS,,LAW,LAW,,,LAW,,,GAS,"ALB, LAW, NOR",
AUS-1,NOR,PIA,VER,PIA,PIA,NOR,NOR,NOR,NOR,NOR,NOR,
AUS-2,PIA,NOR,NOR,NOR,NOR,LEC,PIA,PIA,PIA,PIA,PIA,
AUS-3,LEC,RUS,LEC,HAM,LEC,HAM,VER,LEC,RUS,VER,LEC,
AUS-DNF,LAW,,LAW,,BOR,BEAR,BEAR,Bear Man,STR,TSU,"ALB, VER, ANT, SAI",
GBR-1,NOR,PIA,NOR,NOR,PIA,NOR,NOR,PIA,VER,NOR,NOR,
GBR-2,PIA,NOR,VER,PIA,NOR,PIA,PIA,NOR,PIA,PIA,PIA,
GBR-3,LEC,RUS,HAM,VER,VER,HAM,VER,VER,RUS,LEC,HUL,
GBR-DNF,HAM,,GAS,,LAW,COL,BEAR,,BORT,HAM,"ANT, HAD, BORT, LAW",
SPA-1,NOR,PIA,NOR,PIA,PIA,VER,PIA,PIA,PIA,NOR,PIA,
SPA-2,VER,NOR,PIA,NOR,NOR,PIA,NOT,NOR,NOR,VER,NOR,
SPA-3,PIA,RUS,VER,VER,LEC,NOR,RUS,VER,LEC,PIA,LEC,
SPA-DNF,COL,,ANT,HAM,COL,BEAR,STR,,,COL,NONE,
HUN-1,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NOR,
HUN-2,NOR,NOR,LEC,NOR,NOR,NOR,NOT,NOR,NOR,NOR,PIA,
HUN-3,LEC,RUS,NOR,RUS,LEC,LEC,RUS,VER,LEC,LEC,RUS,
HUN-DNF,HAM,,LAW,,COL,TSU,STR,,,LAW,BEAR,
NED-1,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,
NED-2,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,VER,NOR,VER,
NED-3,LEC,RUS,VER,RUS,VER,LEC,VER,VER,NOR,LEC,HAD,
NED-DNF,HAM,,BORT,,COL,TSU,BEAR,,LAW,HAM,"NOR, LEC, HAM",
MON-1,VER,PIA,NOR,PIA,PIA,PIA,PIA,NOR,VER,VER,VER,
MON-2,PIA,NOR,PIA,NOR,NOR,VER,NOR,PIA,PIA,PIA,NOR,
MON-3,NOR,RUS,VER,RUS,VER,LEC,VER,VER,LEC,NOR,PIA,
MON-DNF,STR,,STR,,TSU,STR,GAS,,RUS,STR,"ALO, HULK",
BAK-1,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,VER,
BAK-2,RUS,NOR,NOR,RUS,NOR,RUS,NOR,NOR,ANT,NOR,RUS,
BAK-3,NOR,PIA,RUS,LAW,RUS,NOR,PIA,PIA,RUS,LEC,SAI,
BAK-UP-BAK-UP-WHAT-YOU-GONNA-DO-NOW?,COL,,LAW,,LAW,BEAR,GAS,,NOR,SAI,PIA,
SIN-1,PIA,RUS,VER,RUS,VER,VER,VER,VER,VER,VER,RUS,
SIN-2,VER,VER,NOR,PIA,PIA,PIA,NOR,NOR,PIA,PIA,VER,
SIN-3,NOR,PIA,PIA,NOR,RUS,RUS,PIA,PIA,RUS,RUS,NOR,
SIN-DNF,RUS,ANT,RUS,,LAW,STR,GAS,,ALB,NOR,"MAG, ALB",
COTA-1,VER,RUS,VER,VER,VER,VER,VER,VER,VER,VER,VER,
COTA-2,PIA,VER,NOR,PIA,NOR,LEC,NOR,NOR,NOR,NOR,NOR,
COTA-3,NOR,PIA,RUS,NOR,RUS,RUS,RUS,RUS,RUS,LEC,LEC,
COTA-DNF,STR,ANT,LAW,,,STR,,,PIA,PIA,SAI,
MEX-1,NOR,RUS,VER,NOR,NOR,VER,NOR,NOR,LEC,NOR,NOR,
MEX-2,LEC,VER,NOR,LEC,LEC,LEC,VER,LEC,NOR,LEC,LEC,
MEX-3,HAM,PIA,RUS,VER,HAM,RUS,RUS,VER,RUS,HAM,VER,
MEX-DNF,STR,ANT,LAW,,TSU,STR,GAS,,TSU,PIA,"SAI, ALO, HUL, LAW",
BRA-1,NOR,NOR,VER,NOR,NOR,VER,NOR,NOR,NOR,NOR,NOR,
BRA-2,PIA,PIA,NOR,LEC,PIA,LEC,ANT,LEC,PIA,ANT,ANT,
BRA-3,VER,LEEC,RUS,VER,LEC,RUS,PIA,VER,LEC,LEC,VER,
BRA-DNF,SAI,BEAR,LAW,,STR,STR,BORT,,TSU,PIA,"BOR, LEC, HAM",
LAS-1,NOR,NOR,VER,NOR,VER,VER,NOR,NOR,NOR,NOR,VER,
LAS-2,VER,VER,NOR,VER,NOR,LEC,VER,LEC,VER,VER,RUS,
LAS-3,LEC,RUS,RUS,PIA,RUS,RUS,RUS,VER,RUS,LEC,ANT,
LAS-DNF,SAI,,,,,STR,ALB,,TSU,SAI,"ALB, BOR, STR",
QAT-1,VER,NOR,PIA,NOR,PIA,VER,NOR,NOR,PIA,NOR,VER,
QAT-2,PIA,VER,NOR,PIA,VER,LEC,VER,LEC,VER,PIA,PIA,
QAT-3,NOR,RUS,VER,VER,RUS,RUS,PIA,VER,NOR,VER,SAI,
QAT-DNF,COL,,RUS,,,STR,,,COL,RUS,"STR, HAD, BEAR, HUL",
ABD-1,VER,VER,PIA,NOR,VER,VER,VER,NOR,VER,VER,VER,
ABD-2,PIA,PIA,NOR,PIA,NOR,PIA,NOR,LEC,NOR,NOR,PIA,
ABD-3,NOR,RUS,VER,VER,PIA,RUS,PIA,VER,PIA,PIA,NOR,
ABD-DNF,HAM,NOR,RUS,,ALB,OCO,GAS,,GAS,RUS,,
,,,,,,,,,,,,
AUS-1,5,10,5,5,0,0,10,0,10,10,,
AUS-2,5,10,5,5,10,5,0,5,0,10,,
AUS-3,0,0,0,0,0,0,0,5,0,0,,
DNF,0,0,0,0,0,5,0,5,5,0,,
CHN-1,10,10,0,5,10,0,5,10,5,0,,
CHN-2,10,10,5,0,10,0,5,10,5,0,,
CHN-3,10,0,0,10,10,5,0,0,0,5,,
CHN-DNF,,,,,,,,,,,,
JPN-1,5,5,10,10,5,5,5,5,5,10,,
JPN-2,5,5,10,10,10,5,5,5,5,10,,
JPN-3,0,5,0,10,0,0,5,5,0,10,,
JPN-DNF,0,0,0,0,0,0,0,5,0,0,,
BAH-1,10,10,0,10,10,10,10,10,10,10,,
BAH-2,0,10,5,10,5,5,0,5,10,10,,
BAH-3,5,0,5,10,0,0,5,5,10,0,,
BAH-HUMBUG,0,,,,,,,,,,,
SAR-1,5,5,10,10,10,10,5,10,5,5,,
SAR-2,5,5,0,0,10,10,5,10,5,5,,
SAR-3,0,0,10,0,0,10,0,0,10,0,,
SAR-DNF,,,,,,,,,,,,
MIA-1,5,0,0,5,10,10,10,5,0,0,,
MIA-2,5,10,10,5,0,10,10,0,10,0,,
MIA-3,0,5,10,10,5,0,0,5,5,5,,
MIA-DNF,0,0,5,5,0,0,0,0,0,0,,
IMO-1,5,5,10,5,5,5,5,5,5,10,,
IMO-2,5,10,5,10,10,10,10,5,10,0,,
IMO-3,5,5,5,0,0,0,0,5,0,10,,
IMO-DNF,0,,,,,,,,,,,
MON-1,10,5,10,5,10,5,5,10,10,0,,
MON-2,0,5,0,5,5,5,5,10,10,10,,
MON-3,5,0,10,10,0,0,0,10,10,10,,
MON-DNF,5,0,5,,,0,0,,,0,,
BAR-1,5,10,10,10,10,10,10,5,10,0,,
